RBD,Administration,HS_ENROLLED_EST
9168,Private subsidized,242
9177,Private subsidized,174
9179,Private subsidized,238
9182,Private subsidized,222
9184,Private subsidized,148
9185,Private subsidized,461
9194,Private subsidized,420
9200,Private subsidized,134
9208,Private subsidized,209
9209,Private subsidized,223
9216,Fully private,153
9217,Fully private,141
9221,Fully private,325
9237,Fully private,327
9239,Fully private,129
9244,Fully private,211
9246,Fully private,310
9249,Fully private,203
9250,Fully private,453
9259,Fully private,410
9267,Fully private,450
9271,Fully private,204
9276,Fully private,186
9277,Fully private,250
9278,Fully private,195
9281,Corp. municipal,349
9283,Corp. municipal,179
9288,Corp. municipal,168
9292,Corp. municipal,277
9298,Corp. municipal,262
9312,Private subsidized,567
9317,Private subsidized,348
9328,Private subsidized,540
9332,Private subsidized,214
9340,Private subsidized,690
9347,Private subsidized,759
9356,Private subsidized,539
9362,Private subsidized,290
9369,Private subsidized,306
9373,Private subsidized,235
9375,Private subsidized,377
9377,Private subsidized,488
9385,Private subsidized,317
9405,Corp. municipal,297
9406,Corp. municipal,441
9407,Delegated,696
9408,Delegated,282
9409,Delegated,616
9411,SLEP,200
9472,Private subsidized,1261
9474,Private subsidized,353
9484,Private subsidized,287
9486,Private subsidized,252
9487,Private subsidized,177
9489,Private subsidized,270
9502,Private subsidized,166
9504,Private subsidized,688
9505,Private subsidized,328
9519,Private subsidized,306
9534,Private subsidized,401
9553,Private subsidized,139
9564,Private subsidized,357
9570,Private subsidized,361
9579,Delegated,605
9581,Delegated,491
9582,SLEP,232
9583,Municipal,535
9584,Delegated,346
9587,SLEP,186
9599,Municipal,182
9601,Municipal,198
9608,Municipal,144
9634,Private subsidized,610
9637,Private subsidized,530
9638,Private subsidized,133
9646,Private subsidized,508
9647,Private subsidized,394
9655,Private subsidized,337
9656,Private subsidized,397
9659,Private subsidized,449
9660,Private subsidized,443
9665,Private subsidized,344
9673,Private subsidized,175
9684,Private subsidized,274
9686,Delegated,343
9687,Municipal,250
9688,Municipal,317
9693,Municipal,872
9694,Delegated,292
9754,Private subsidized,483
9757,Private subsidized,266
9758,Private subsidized,322
9759,Private subsidized,340
9766,Private subsidized,166
9767,Private subsidized,321
9768,Private subsidized,456
9771,Private subsidized,321
9779,Private subsidized,582
9780,Private subsidized,147
9781,Private subsidized,1203
9784,Private subsidized,165
9796,Private subsidized,134
9797,Private subsidized,167
9799,Private subsidized,523
9800,Private subsidized,322
9801,Private subsidized,262
9810,Private subsidized,238
9824,Private subsidized,289
9827,Private subsidized,648
9829,Private subsidized,601
9834,Private subsidized,636
9844,Private subsidized,211
9845,Private subsidized,271
9852,Private subsidized,446
9853,Private subsidized,157
9860,Delegated,715
9861,Municipal,204
9862,Municipal,543
9863,Corp. municipal,305
9864,Corp. municipal,286
9865,Municipal,221
9866,Delegated,459
9867,Corp. municipal,591
9889,Corp. municipal,266
9896,Corp. municipal,316
9897,Private subsidized,1223
9900,Private subsidized,759
9903,Private subsidized,388
9905,Private subsidized,336
9906,Private subsidized,349
9907,Private subsidized,287
9909,Private subsidized,1114
9911,Private subsidized,335
9912,Private subsidized,188
9917,Private subsidized,804
9919,Private subsidized,159
9924,Private subsidized,412
9926,Private subsidized,132
9930,Private subsidized,144
9937,Private subsidized,279
9940,Private subsidized,344
9947,Private subsidized,627
9950,Private subsidized,161
9955,Private subsidized,150
9957,Private subsidized,858
9959,Private subsidized,777
9960,Private subsidized,126
9967,Private subsidized,212
9972,Private subsidized,196
9973,Private subsidized,131
9981,Delegated,517
9982,Delegated,840
9985,Corp. municipal,358
9986,Corp. municipal,218
10023,Private subsidized,271
10030,Private subsidized,599
10042,Private subsidized,356
10044,Private subsidized,686
10052,Private subsidized,370
10058,Private subsidized,234
10069,Private subsidized,307
10073,Delegated,681
10075,SLEP,262
10076,SLEP,541
10077,SLEP,396
10091,SLEP,198
10106,SLEP,207
10130,SLEP,145
10158,Private subsidized,298
10162,Private subsidized,176
10164,Private subsidized,164
10187,Private subsidized,359
10193,Private subsidized,151
10196,Delegated,821
10199,Municipal,228
10220,Private subsidized,274
10223,Private subsidized,681
10224,Private subsidized,316
10232,Private subsidized,309
10240,Municipal,299
10246,Private subsidized,566
10248,Delegated,645
10250,Municipal,270
10251,Corp. municipal,174
10252,Municipal,197
10253,Corp. municipal,539
10254,Municipal,209
10255,Municipal,592
10259,Corp. municipal,235
10269,Corp. municipal,143
10313,Private subsidized,367
10315,Private subsidized,169
10320,Private subsidized,383
10329,Private subsidized,235
10337,Private subsidized,150
10344,Private subsidized,309
10350,Private subsidized,249
10385,Private subsidized,160
10396,Delegated,600
10397,Delegated,345
10399,Corp. municipal,1127
10405,Corp. municipal,502
10408,Corp. municipal,384
10415,Private subsidized,645
10419,Corp. municipal,963
10432,Corp. municipal,390
10433,Corp. municipal,180
10450,Corp. municipal,533
10452,Corp. municipal,239
10453,Corp. municipal,555
10455,Corp. municipal,185
10456,Corp. municipal,591
10457,Corp. municipal,274
10470,Corp. municipal,598
10479,Private subsidized,161
10484,Private subsidized,321
10487,Private subsidized,1088
10489,Private subsidized,297
10491,Private subsidized,185
10493,Private subsidized,402
10496,Private subsidized,842
10500,Private subsidized,333
10501,Private subsidized,272
10503,Private subsidized,290
10505,Private subsidized,318
10506,Private subsidized,248
10507,Private subsidized,821
10516,Corp. municipal,261
10520,Corp. municipal,208
10526,Corp. municipal,390
10540,Private subsidized,167
10541,Delegated,1192
10542,Corp. municipal,258
10543,Corp. municipal,412
10544,Corp. municipal,833
10545,Corp. municipal,461
10551,Corp. municipal,159
10573,Municipal,152
10584,Corp. municipal,242
10592,Corp. municipal,151
10594,Private subsidized,120
10600,Private subsidized,378
10604,Private subsidized,187
10606,Private subsidized,130
10607,Private subsidized,174
