school_rbd,area_income_va,program_income_full_va,institution_income_va,math_va,area_income_n,program_income_full_n,institution_income_n,math_n,complete_decomposition_input,decomposition_order,program_income_full_component_math_va,program_income_full_component_institution_income_va,program_income_full_component_area_income_va,program_income_full_component_residual_va,program_income_full_component_sum_va,reconstruction_error
366,0.112352018212162,0.173836711461478,0.13847008637061,0.56756177741293,224,224,224,224,TRUE,math_area_institution,0.0689803931330019,0.0172353527125818,0.0787589232829023,0.00886195569031897,0.173836624818805,0
367,0.0154392116725494,0.0304305460256725,0.0325637179488196,-0.0767426256329898,285,285,285,277,TRUE,math_area_institution,-0.00912224043613484,0.00873129676651116,0.0241318735901093,0.00668952946251395,0.0304304593829995,0
371,0.0047308803236161,0.0071898549025816,0.0007637131029632,-0.0285863292872222,4,4,4,4,TRUE,math_area_institution,-0.00328473016962159,-0.00101386665028584,0.00774467294541599,0.00374369213440009,0.00718976825990864,0
372,-0.0384242231106931,-0.0376855242969145,-0.0131529948184016,-0.104648921233816,182,182,182,174,TRUE,math_area_institution,-0.01250504392045,0.00734731671337702,-0.0348674712147235,0.00233958748220903,-0.0376856109395875,0
373,-0.0183965790800743,-0.0094637994013554,0.0234178920520062,-0.0599518222215249,287,287,287,284,TRUE,math_area_institution,-0.00708685784371821,0.0155459289355384,-0.0159068684201802,-0.00201608871566828,-0.00946388604402836,0
379,-0.0220279572352246,-0.0136002735569007,0.0354633791899757,-0.130018597906194,376,376,376,372,TRUE,math_area_institution,-0.0155803582463231,0.0219523419317149,-0.013970709752727,-0.00600163413223845,-0.0136003601995737,0
384,0.0170656760186027,0.0420288354929566,0.0307256128739492,-0.103391078418987,291,291,291,285,TRUE,math_area_institution,-0.0123525681093431,0.00763882668639703,0.0282977558197378,0.0184447344534919,0.0420287488502837,0
392,0.0241639386948252,0.0284225217283891,0.051774828664463,-0.0990209479053778,220,220,220,220,TRUE,math_area_institution,-0.0118228205233571,0.0138716401809777,0.0360127749440021,-0.00963915951590648,0.0284224350857161,0
396,0.0089704040229351,0.0345201330024949,0.048109796296589,-0.16349582137014,286,286,286,274,TRUE,math_area_institution,-0.0196384700716591,0.0175360133886492,0.0242797838599456,0.0123427191828861,0.034520046359822,0
397,-0.0197202737937776,-0.031163252213069,-0.0321843779451709,0.0071587813050037,2,2,2,2,TRUE,math_area_institution,0.00104829512288742,-0.00684305869239388,-0.0232368323085451,-0.00213174297769043,-0.031163338855742,-3.46944695195361e-18
399,0.0863081230944466,0.131232773893705,0.154424024741562,-0.0390166345046844,238,238,238,231,TRUE,math_area_institution,-0.00454909263953886,0.0354139415730344,0.101670642242514,-0.00130280392497797,0.131232687251032,0
400,-0.007147359562632,0.0230646183916927,0.0568140167612329,-0.0622892037845325,440,440,440,430,TRUE,math_area_institution,-0.00737019543207523,0.0254936045375755,-0.00287682420015554,0.00781794684367497,0.0230645317490197,0
415,-0.0101320888116922,0.0092835459403881,0.0579402376048845,-0.164246109273974,278,278,278,277,TRUE,math_area_institution,-0.0197294200340487,0.0274860321324972,0.0025625637019822,-0.00103571650271554,0.00928345929771514,0
419,0.0036372256256662,0.0051761728489139,0.0065348652504858,,1,1,1,,FALSE,,,,,,,
420,0.0519029539752273,0.0898241486021179,0.108119323815091,-0.052653954725048,123,123,123,117,TRUE,math_area_institution,-0.00620220973605531,0.0276129465417225,0.0636217099849952,0.00479161516878256,0.089824061959445,-1.38777878078145e-17
429,0.0683377620426124,0.110025869643425,0.113716075142013,-0.0529085149439554,502,502,502,499,TRUE,math_area_institution,-0.00623306754705988,0.0247213539095823,0.0823841597351179,0.00915333690311174,0.110025783000752,0
430,0.0144489108861138,0.0407506571721092,0.0476618123910126,-0.162136482593642,146,146,146,143,TRUE,math_area_institution,-0.0194736909115986,0.0156312136169731,0.0304089482760556,0.0141840995480061,0.0407505705294362,0
