school_rbd,analysis_sample,outcome,n_students_regression,n_total,controlled_value_added,controlled_value_added_centered_student,controlled_value_added_se,controlled_value_added_resid_sd,controlled_value_added_se_method,eb_tau2,eb_tau,eb_reliability,eb_method,controlled_value_added_eb,controlled_value_added_eb_centered_student
364,All,z_year_math_max,117,561977,0.14210652,0.015137065,0.076758407,0.6263321,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.910993074736545,stata_normal_normal_weighted_by_n_students_regression,0.0137897615466656,0.0188178261380132
365,All,z_year_math_max,237,561977,-0.043253459,-0.17022291,0.06261985,0.65681261,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.938945028925427,stata_normal_normal_weighted_by_n_students_regression,-0.159829953535083,-0.154801888943735
366,All,z_year_math_max,225,561977,0.70349908,0.57652962,0.06332767,0.71864158,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.937643519774651,stata_normal_normal_weighted_by_n_students_regression,0.540579264082564,0.545607328673911
367,All,z_year_math_max,283,561977,0.037716631,-0.089252822,0.075009823,0.5540874,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.91465997407309,stata_normal_normal_weighted_by_n_students_regression,-0.0816359839721504,-0.0766079193808028
371,All,z_year_math_max,5,561977,0.062695727,-0.06427373,0.32431272,0.48229298,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.364411064807782,stata_normal_normal_weighted_by_n_students_regression,-0.0234220585321935,-0.018393993940846
372,All,z_year_math_max,174,561977,-0.0387365,-0.16570595,0.10762822,0.52275354,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.838861478654401,stata_normal_normal_weighted_by_n_students_regression,-0.139004337500865,-0.133976272909517
373,All,z_year_math_max,288,561977,0.053854663,-0.07311479,0.090842851,0.59419376,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.879625100757947,stata_normal_normal_weighted_by_n_students_regression,-0.0643136045730411,-0.0592855399816935
379,All,z_year_math_max,380,561977,0.016984582,-0.10998487,0.079725191,0.58542931,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.90464844219431,stata_normal_normal_weighted_by_n_students_regression,-0.099497645611131,-0.0944695810197834
384,All,z_year_math_max,285,561977,0.0097205378,-0.11724892,0.085543759,0.5751788,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.891783627179108,stata_normal_normal_weighted_by_n_students_regression,-0.104560669496389,-0.0995326049050418
392,All,z_year_math_max,221,561977,0.02685296,-0.1001165,0.076857559,0.50590736,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.910783506086559,stata_normal_normal_weighted_by_n_students_regression,-0.0911844557895768,-0.0861563911982292
396,All,z_year_math_max,279,561977,-0.039318282,-0.16628774,0.049751393,0.48516703,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.960572654868728,stata_normal_normal_weighted_by_n_students_regression,-0.159731451192211,-0.154703386600864
397,All,z_year_math_max,2,561977,0.13155495,0.0045854901,0.45016092,0.042194366,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.229336179824238,stata_normal_normal_weighted_by_n_students_regression,0.0010516185718737,0.0060796831632213
399,All,z_year_math_max,234,561977,0.076989532,-0.049979925,0.052752018,0.51165384,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.955889433745813,stata_normal_normal_weighted_by_n_students_regression,-0.0477752823676707,-0.0427472177763231
400,All,z_year_math_max,432,561977,0.053854734,-0.073114723,0.057634808,0.58979881,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.947791714945357,stata_normal_normal_weighted_by_n_students_regression,-0.0692975286829766,-0.0642694640916291
415,All,z_year_math_max,279,561977,-0.060590629,-0.18756008,0.07662674,0.69163853,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.911271096385971,stata_normal_normal_weighted_by_n_students_regression,-0.170918081114398,-0.16589001652305
420,All,z_year_math_max,120,561977,0.075146548,-0.051822912,0.070522636,0.4445447,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.923810230454844,stata_normal_normal_weighted_by_n_students_regression,-0.0478745362501977,-0.0428464716588501
429,All,z_year_math_max,499,561977,0.065940589,-0.061028868,0.058271643,0.63459402,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.946693434165942,stata_normal_normal_weighted_by_n_students_regression,-0.0577756286067771,-0.0527475640154295
430,All,z_year_math_max,143,561977,-0.058753915,-0.18572336,0.072683863,0.52636069,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.919450785293297,stata_normal_normal_weighted_by_n_students_regression,-0.170763493223736,-0.165735428632388
431,All,z_year_math_max,171,561977,0.068218395,-0.058751062,0.061013088,0.54396105,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.941858215939142,stata_normal_normal_weighted_by_n_students_regression,-0.0553351700400315,-0.0503071054486839
433,All,z_year_math_max,253,561977,-0.043364871,-0.17033432,0.075428054,0.50465751,stata_areg_centered_student_vce_unadjusted,0.0603035922599631,0.245567897453969,0.913787936468222,stata_normal_normal_weighted_by_n_students_regression,-0.155649450681034,-0.150621386089687
