cohort_gr8,income_measure_key,income_measure_label,income_measure_order,outcome,outcome_key,outcome_label,plot_order,rho,n_students,mean_log_income_4to,mean_attended_va_eb,sd_log_income_4to,sd_attended_va_eb,n_students_with_income_and_rbd,va_match_rate_among_income_rbd
2019,school_median_for_everyone,School median for everyone,2,program_certified_years_m1,program_certified_years,Program-certified years,7,0.0307243275484427,180744,12.7317911297883,-0.0114755516919781,0.494163886537604,0.104112512692763,181025,0.998447728214335
2020,school_median_for_everyone,School median for everyone,2,program_certified_years_m1,program_certified_years,Program-certified years,7,0.0220304786041007,184134,12.7377685167422,-0.00973018279496462,0.494179845560458,0.102800476405911,184504,0.997994623422798
2017,direct_or_school_median,Direct income + school median fallback,1,inst_certified_years_m1,institutional_quality,Institutional quality,8,-0.0107706498793017,167919,12.602561978006,-0.007470615205242,0.793429451056782,0.213323891126126,168324,0.997593925999857
2018,direct_or_school_median,Direct income + school median fallback,1,inst_certified_years_m1,institutional_quality,Institutional quality,8,-0.012546211422832,181695,12.6586315480728,-0.00612449423159947,0.769111892138787,0.213871235882725,182027,0.998176094755174
2019,direct_or_school_median,Direct income + school median fallback,1,inst_certified_years_m1,institutional_quality,Institutional quality,8,-0.013892557030778,182789,12.7323972460833,-0.00562244316744924,0.76042046591896,0.21445012707013,183080,0.998410530915447
2020,direct_or_school_median,Direct income + school median fallback,1,inst_certified_years_m1,institutional_quality,Institutional quality,8,-0.0165156381820001,186244,12.7934393526773,-0.00677740070982636,0.743998148321479,0.212846425328579,186630,0.997931736591116
2013,school_median_for_everyone,School median for everyone,2,inst_certified_years_m1,institutional_quality,Institutional quality,8,-0.00693011117041761,173564,12.684938374948,-0.0046982813138607,0.478687107968528,0.215209848431309,176588,0.982875393571477
2014,school_median_for_everyone,School median for everyone,2,inst_certified_years_m1,institutional_quality,Institutional quality,8,-0.00618566261256715,180653,12.6908102539773,-0.00623577532008256,0.484395662456083,0.214731372784162,183167,0.986274820246005
2015,school_median_for_everyone,School median for everyone,2,inst_certified_years_m1,institutional_quality,Institutional quality,8,-0.00679903554600898,177194,12.7019377311145,-0.00571112356808477,0.48925581003089,0.21501283591002,179019,0.989805551366056
2016,school_median_for_everyone,School median for everyone,2,inst_certified_years_m1,institutional_quality,Institutional quality,8,-0.00671188930247349,177745,12.7049876899728,-0.00641176399916518,0.492288810761755,0.213785170916138,178608,0.995168189554779
2017,school_median_for_everyone,School median for everyone,2,inst_certified_years_m1,institutional_quality,Institutional quality,8,-0.00909774478147425,165460,12.726762642384,-0.00724173514917397,0.500878032501781,0.213207656707877,165848,0.997660508417346
2018,school_median_for_everyone,School median for everyone,2,inst_certified_years_m1,institutional_quality,Institutional quality,8,-0.0125854634535955,179353,12.7298468245538,-0.00582662903112203,0.496509745821914,0.213820603889484,179676,0.998202319731071
2019,school_median_for_everyone,School median for everyone,2,inst_certified_years_m1,institutional_quality,Institutional quality,8,-0.0121869757375661,180744,12.7317911297883,-0.00543381268916517,0.494163886537604,0.214448294554102,181025,0.998447728214335
2020,school_median_for_everyone,School median for everyone,2,inst_certified_years_m1,institutional_quality,Institutional quality,8,-0.0184006445104931,184134,12.7377685167422,-0.00659987096113032,0.494179845560458,0.212796548480758,184504,0.997994623422798
