school_rbd,exam_taking_va,area_income_va,program_income_full_va,institution_income_va,math_va,exam_taking_n,area_income_n,program_income_full_n,institution_income_n,math_n,complete_decomposition_input,decomposition_order,program_income_full_component_exam_taking_va,program_income_full_component_math_va,program_income_full_component_area_income_va,program_income_full_component_institution_income_va,program_income_full_component_residual_va,program_income_full_component_sum_va,reconstruction_error
270,0.0211238662527949,-0.0341846358932639,-0.0243236943108024,0.0094284249710936,0.0544606296021344,46,40,40,40,40,TRUE,exam_math_area_institution,-0.000426312622348148,0.00693599936112355,-0.0436137107324785,0.0142590654193218,-0.00147882237909404,-0.0243237809534754,0
279,-0.271006891448466,0.0976247668234239,0.127085167514812,0.0476237276835678,-0.216709634782009,1321,416,416,416,406,TRUE,exam_math_area_institution,-0.0354919000023755,0.00189224754748845,0.150178552452405,-0.00924515427986486,0.0197513351544863,0.127085080872139,0
280,-0.100291398828727,0.0396961048624256,0.0760519647948826,0.0811666124395537,-0.144137807603614,760,405,405,405,387,TRUE,exam_math_area_institution,-0.015000257593042,-0.00530490205467228,0.0657961010803205,0.0216239638628036,0.00893697285679995,0.0760518781522097,0
283,-0.0651070874802415,-0.0197550108682673,0.0042128806010471,0.052001191138503,-0.140256061108212,723,410,410,410,401,TRUE,exam_math_area_institution,-0.01077694829927,-0.00809627208032127,-0.00546116497584741,0.0283539508887081,0.000193228425104706,0.00421279395837414,0
284,-0.103282019825502,0.0231682184654414,0.05569742831596,0.0780446361011709,0.0817818525268123,102,48,48,48,48,TRUE,exam_math_area_institution,-0.0153592334253308,0.0216536184163233,0.0289191083314624,0.0242789337239923,-0.00379508537316012,0.0556973416732871,0
285,0.0064591394910297,0.016503912527723,0.0353264214233141,0.0363720367909114,-0.0803670378679057,180,116,116,116,110,TRUE,exam_math_area_institution,-0.00218657662780684,-0.00763333286778428,0.0265789170449007,0.010062819070791,0.00850450816054049,0.0353263347806412,0
286,-0.160164064102088,0.0267278697285735,0.0624690803775225,0.0749038604814294,-0.155502471611912,404,171,171,171,168,TRUE,exam_math_area_institution,-0.0221870057202801,-0.00111694581919488,0.0559099827667586,0.0234086130665934,0.00645434944097254,0.0624689937348496,0
287,0.0525720074497062,0.0150348043068305,0.0434464671010389,0.0833470077898499,-0.175139563721524,784,598,598,598,585,TRUE,exam_math_area_institution,0.00334852968373803,-0.0230857108293945,0.0292564992464001,0.0299658306410927,0.00396123171652966,0.0434463804583659,0
298,-0.030629760081157,,,,,1,,,,,FALSE,,,,,,,,
304,0.0877355621861791,0.0682566255938395,0.102733671639206,0.112978281863178,-0.0962788357320296,428,380,380,380,375,TRUE,exam_math_area_institution,0.00756934748090093,-0.0170197550737048,0.0818523915328269,0.0246969471896279,0.00563465386688214,0.102733584996533,0
312,-0.0384149434508546,,,,,1,,,,,FALSE,,,,,,,,
320,-0.0404114114248682,0.0372032568239784,0.0885088095805185,0.120159365598552,-0.198804132937197,155,94,94,94,93,TRUE,exam_math_area_institution,-0.00781263056209389,-0.0172921386665427,0.0631373805972793,0.0383426381289922,0.0121334734402105,0.0885087229378456,0
324,-0.0860819234613529,,,,,3,,,,,FALSE,,,,,,,,
329,0.0649474282666199,0.0528903591831893,0.0836295379615656,0.0579345714166849,-0.0875742990873828,103,89,89,89,88,TRUE,exam_math_area_institution,0.00483399942145002,-0.0138868613459048,0.0650297834983686,0.00723089074268848,0.0204216390022904,0.0836294513188927,-1.38777878078145e-17
335,0.0370208617397671,-0.0055468675655989,0.0098111301143672,0.0373672367937473,-0.0733200334579506,97,66,66,66,65,TRUE,exam_math_area_institution,0.00148186537545916,-0.00962390062695848,-0.00151245525923866,0.0172626325710504,0.00220290141138186,0.00981104347169424,0
