cohort_gr8,income_measure_key,income_measure_label,income_measure_order,outcome,outcome_key,outcome_label,plot_order,target_percentile,target_percentile_label,window_lower_percentile,window_upper_percentile,n_students_total,n_students,income_4to_cutpoint,log_income_4to_cutpoint,mean_income_4to,mean_log_income_4to,mean_attended_va_eb,sd_attended_va_eb,se_attended_va_eb
2015,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,10,p10,7.5,12.5,197533,9877,250000,12.4292161968444,244760.554824339,12.4047224108564,-0.08694716927429,0.104639097815287,0.00105288626347322
2016,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,10,p10,7.5,12.5,198196,9910,250000,12.4292161968444,246019.172552977,12.4114502773704,-0.0874669339852038,0.103991069342213,0.00104462211761536
2017,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,10,p10,7.5,12.5,184854,9242,250000,12.4292161968444,250000,12.4292161968444,-0.0845825991365276,0.105441851441035,0.00109680656415854
2018,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,10,p10,7.5,12.5,199333,9967,250000,12.4292161968444,250000,12.4292161968444,-0.0855100240226499,0.105401017783544,0.00105575361081408
2019,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,10,p10,7.5,12.5,200814,10040,250000,12.4292161968444,250000,12.4292161968444,-0.0857887929097394,0.105059332129227,0.00104849841727102
2020,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,10,p10,7.5,12.5,204557,10228,250000,12.4292161968444,250000,12.4292161968444,-0.0848173190296907,0.105263491712475,0.00104083625712581
2013,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,25,p25,22.5,27.5,193933,9697,250000,12.4292161968444,250000,12.4292161968444,-0.0897399894412817,0.104834774681481,0.00106460050613014
2014,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,25,p25,22.5,27.5,201268,10063,250000,12.4292161968444,250000,12.4292161968444,-0.087768713878337,0.104066685952276,0.00103740416706898
2015,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,25,p25,22.5,27.5,197533,9877,250000,12.4292161968444,250000,12.4292161968444,-0.088443819376366,0.105282369939268,0.00105935891468252
2016,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,25,p25,22.5,27.5,198196,9909,250000,12.4292161968444,250000,12.4292161968444,-0.0875194543774062,0.104839151997386,0.00105319450674668
2017,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,25,p25,22.5,27.5,184854,9242,250000,12.4292161968444,250000,12.4292161968444,-0.0860459168820403,0.106161626000168,0.00110429366202701
2018,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,25,p25,22.5,27.5,199333,9967,250000,12.4292161968444,250000,12.4292161968444,-0.0867138718218094,0.105479553253212,0.00105654026456204
2019,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,25,p25,22.5,27.5,200814,10040,250000,12.4292161968444,250000,12.4292161968444,-0.0858120631530726,0.105314539275939,0.00105104539985678
