school_rbd,area_income_va,program_income_full_va,institution_income_va,math_va,area_income_n,program_income_full_n,institution_income_n,math_n,complete_decomposition_input,program_income_full_component_math_va,program_income_full_component_institution_income_va,program_income_full_component_area_income_va,program_income_full_component_residual_va,program_income_full_component_sum_va,reconstruction_error
399,0.0863081230944466,0.131232773893705,0.154424024741562,-0.0390166345046844,238,238,238,231,TRUE,-0.00454909263953886,0.143614060233085,-0.00652947641753563,-0.00130280392497822,0.131232687251032,0
400,-0.007147359562632,0.0230646183916927,0.0568140167612329,-0.0622892037845325,440,440,440,430,TRUE,-0.00737019543207523,0.0560061864304449,-0.033389406093025,0.00781794684367513,0.0230645317490198,-3.46944695195361e-18
415,-0.0101320888116922,0.0092835459403881,0.0579402376048845,-0.164246109273974,278,278,278,277,TRUE,-0.0197294200340487,0.0639112304832918,-0.0338626346488125,-0.00103571650271539,0.00928345929771515,-3.46944695195361e-18
419,0.0036372256256662,0.0051761728489139,0.0065348652504858,,1,1,1,,FALSE,,,,,,
420,0.0519029539752273,0.0898241486021179,0.108119323815091,-0.052653954725048,123,123,123,117,TRUE,-0.00620220973605531,0.102229376083521,-0.0109947195568031,0.00479161516878243,0.089824061959445,0
429,0.0683377620426124,0.110025869643425,0.113716075142013,-0.0529085149439554,502,502,502,499,TRUE,-0.00623306754705988,0.107359787921612,-0.000254274276912015,0.00915333690311154,0.110025783000752,0
430,0.0144489108861138,0.0407506571721092,0.0476618123910126,-0.162136482593642,146,146,146,143,TRUE,-0.0194736909115986,0.0543784896359929,-0.00833832774296404,0.014184099548006,0.0407505705294362,0
431,0.0152590799773553,0.0537682791022448,0.10134721679626,-0.0501053133929422,173,173,173,170,TRUE,-0.00589326322083736,0.0958704322985627,-0.0379061255575468,0.00169714893939328,0.0537681924595719,0
433,0.0568579717010641,0.0745800652923885,0.0650495356822063,-0.152708933520131,257,257,257,253,TRUE,-0.0183308826252318,0.0696282676750663,0.0176183996194766,0.00566419398040446,0.0745799786497156,0
437,0.109117514439538,0.152809319207135,0.119423930571032,-0.0234664490691216,886,886,886,879,TRUE,-0.00266409786181524,0.110588922936077,0.0298145572459329,0.0150698502442671,0.152809232564462,0
438,-0.0037256967866062,0.0213161022029911,0.0478118160060813,-0.137883828119856,173,173,173,164,TRUE,-0.0165337821099666,0.0528799009317987,-0.0240570894316041,0.00902698617009006,0.0213160155603181,-3.46944695195361e-18
440,-0.0165348972376259,0.0068855268727456,0.0577173887457281,-0.136656113162721,249,249,249,246,TRUE,-0.0163849584002865,0.0618469252484239,-0.0397396235430493,0.00116309692498462,0.00688544023007264,0
