school_rbd,highinst_va,highpay_va,income_va,math_va,highinst_n,highpay_n,income_n,math_n,math_va_joint,highinst_va_joint,highpay_va_joint
609,0.0651655683068843,-0.0046032244218274,0.0792928061059494,-0.124379398810492,605,564,605,391,-0.0976701733025605,0.0651509895690505,-0.00412695981686383
610,0.0009941728367446,0.137824284481401,0.0021974989241562,-0.0888518234113495,318,313,318,105,-0.062142597903418,0.000979594098910808,0.138300549086365
611,0.0152689231505478,-0.0058943224827382,-0.0607135655194202,-0.0733762838779459,149,141,149,60,-0.0466670583700144,0.015254344412714,-0.00541805787777463
613,-0.0253936905105264,-0.034504534208523,-0.0388844742808258,-0.108179826565079,206,189,206,150,-0.0814706010571475,-0.0254082692483602,-0.0340282696035594
629,-0.0130703960547961,0.0526662593052744,0.0199334133188303,-0.220597222760232,151,143,151,59,-0.1938879972523,-0.0130849747926299,0.053142523910238
646,-0.0098928549737777,0.0092686944859739,0.0277005551612128,-0.110264184872212,407,378,407,264,-0.0835549593642805,-0.00990743371161149,0.00974495909093747
647,-0.0315205277984285,0.0327641472533663,0.0163762762260845,-0.0400037912655059,130,124,130,86,-0.0132945657575744,-0.0315351065362623,0.0332404118583299
648,0.021468881181403,-0.0114196364004637,0.0542713844434633,0.0302641499156869,301,292,301,282,0.0569733754236184,0.0214543024435692,-0.0109433717955001
649,0.0256062083349163,0.0022762149736947,0.0252922257199134,0.0348604194512101,405,381,405,354,0.0615696449591416,0.0255916295970825,0.00275247957865827
656,-0.0219390994604606,0.0676662772194517,0.0422187027648121,-0.134422589274817,211,198,211,148,-0.107713363766886,-0.0219536781982944,0.0681425418244153
664,0.0209698032262329,-0.007198314049629,0.0223120428580819,0.0017709802938026,191,178,191,167,0.0284802058017341,0.0209552244883991,-0.00672204944466543
665,-0.0140202607727265,-0.0060264039243876,-0.101307559282556,-0.215321450658204,361,337,361,202,-0.188612225150272,-0.0140348395105603,-0.00555013931942403
666,0.0023004574983016,-0.0033166423804871,-0.0148656440637536,,1,1,1,,,,
668,0.0370256867350482,0.0095825006220517,0.0356419907837509,-0.0963362852247903,94,84,94,86,-0.0696270597168588,0.0370111079972144,0.0100587652270153
690,0.0043908559444629,-0.0211558133501467,0.0431533262258536,-0.0918763370776694,277,251,277,260,-0.0651671115697379,0.00437627720662911,-0.0206795487451831
701,-0.0205134975086393,-0.0205251213542057,-0.037135953764304,-0.0195851834733401,288,278,288,161,0.0071240420345914,-0.0205280762464731,-0.0200488567492421
704,-0.0128768699670917,-0.0281467395426451,0.0514958803651147,0.0362203088693197,568,533,568,525,0.0629295343772512,-0.0128914487049255,-0.0276704749376815
705,-0.051025943810458,0.0997508074223169,-0.0548356224095754,-0.202458499612196,876,852,876,457,-0.175749274104265,-0.0510405225482918,0.10022707202728
706,6.13586219343e-05,-0.0004425344424129,-0.0126553299678575,,1,1,1,,,,
709,0.0018611039789243,-0.0028152432616908,-0.0113754898051222,,1,1,1,,,,
712,-0.0041527509431941,-0.0013625282413886,-0.0130970896728216,0.153111727912841,1,1,1,1,0.179820953420773,-0.00416732968102789,-0.000886263636425028
763,-0.0320450513323227,-0.022474140196223,0.0012158100305358,-0.107485156743866,329,306,329,287,-0.0807759312359345,-0.0320596300701565,-0.0219978755912594
766,-0.0382412740237823,-0.0316412296003052,-0.042179432242772,-0.0065482439550921,506,487,506,458,0.0201609815528394,-0.0382558527616161,-0.0311649649953416
767,0.0227864187633345,0.0210766808527445,0.0812738693742644,-0.0375911859153521,131,117,131,120,-0.0108819604074206,0.0227718400255007,0.0215529454577081
768,-0.0517469675561195,-0.0748133611829855,-0.0646726468035321,-0.099647081228292,740,691,740,467,-0.0729378557203605,-0.0517615462939533,-0.0743370965780219
769,0.139003058057017,0.0628995512370199,0.0963903188207336,0.220072645991151,344,327,344,337,0.246781871499083,0.138988479319183,0.0633758158419835
770,0.298285531155109,0.0088898919710702,0.0643793741673399,0.561008868301836,147,144,147,143,0.587718093809768,0.298270952417275,0.00936615657603377
772,-0.053013268283224,0.0475380222409746,-0.0370953457000194,-0.167340984871372,386,361,386,203,-0.140631759363441,-0.0530278470210578,0.0480142868459382
774,0.0926000036961501,0.0046498626905059,0.0031694860904899,-0.0683733056674809,69,62,69,64,-0.0416640801595494,0.0925854249583163,0.00512612729546947
799,0.0118246490811644,-0.0198827201353295,-0.0135222550594373,-0.229048191136633,174,169,174,102,-0.202338965628701,0.0118100703433306,-0.0194064555303659
800,0.0115839530797246,0.001511286536841,-0.0011411475706785,,1,1,1,,,,
802,-0.0261760173529069,-0.0080422870950877,-0.0566053975573717,-0.145926477290202,389,368,389,224,-0.119217251782271,-0.0261905960907407,-0.00756602249012413
803,0.0110275478452746,0.0022566578855479,-0.0001175798049362,,1,1,1,,,,
845,0.0247524562976118,-0.0295018908073935,-0.0121698021383995,-0.15397387694708,335,315,335,295,-0.127264651439149,0.024737877559778,-0.0290256262024299
892,-0.0144202663113061,-0.0067255747309803,0.0153492639768631,,1,1,1,,,,
908,0.0023817841928231,-0.001365101951618,-0.0068003647272975,,1,1,1,,,,
964,0.0068028695746573,-0.0070628084326437,-0.0714104823129781,-0.0123056652389581,14,14,14,1,0.0144035602689734,0.00678829083682351,-0.00658654382768013
967,-0.0331599803550158,0.0524963990084591,0.0276293885925216,-0.163765315086474,284,266,284,234,-0.137056089578542,-0.0331745590928496,0.0529726636134227
968,-0.0060441109384778,0.0775427611563654,-0.0246574287297726,-0.268826864686555,367,353,367,169,-0.242117639178623,-0.00605868967631159,0.078019025761329
982,0.0451646782384229,0.080217542045302,0.113302088383852,0.109664989023879,32,31,32,26,0.136374214531811,0.0451500995005891,0.0806938066502656
987,-0.0946383225193111,0.0292316417719046,0.0037473184787018,-0.138133630548245,303,290,303,273,-0.111424405040314,-0.0946529012571449,0.0297079063768682
988,-0.0424353866021441,-0.0507562353305256,-0.0286010156271836,-0.243043751747796,133,129,133,75,-0.216334526239864,-0.0424499653399779,-0.050279970725562
1013,-0.0365178778840636,-0.0266207498930378,-0.0931552662569694,-0.259644072189811,246,228,246,152,-0.23293484668188,-0.0365324566218974,-0.0261444852880742
1036,-0.0631564169165241,0.0307659316499661,0.0059662862697054,-0.242689091084081,299,277,299,270,-0.215979865576149,-0.0631709956543579,0.0312421962549297
1048,0.0058664094954661,-0.0511588277776591,-0.0670842117474764,-0.155902796276499,489,474,489,296,-0.129193570768568,0.00585183075763231,-0.0506825631726955
1049,-0.0140991428459194,-0.0092771624043914,-0.0254536481145628,,1,1,1,,,,
1119,-0.0260951317026841,-0.0180737394645612,-0.0529332762664241,-0.061994151072527,133,122,133,124,-0.0352849255645955,-0.0261097104405179,-0.0175974748595976
