school_rbd,highinst_va,highpay_va,income_va,math_va,highinst_n,highpay_n,income_n,math_n,math_highinst_highpay_math_orth_va,math_highinst_highpay_highinst_orth_va,math_highinst_highpay_highpay_orth_va
283,0.142778908999484,0.0075200860406941,-0.0038544987252896,-0.136362793265523,723,664,723,407,-0.109653567757592,0.1751046015351,0.00753133556643717
284,0.129119009993688,-0.0099660025780711,-0.0052406207819298,0.117725790310453,103,97,103,50,0.144435015818385,0.0865060216603016,-0.0200378900744956
285,0.105456069298109,0.0585741511334492,0.0503207085679956,-0.0717403612865419,180,173,180,111,-0.0450311357786104,0.118722582791139,0.0572120959915285
286,0.104880130641404,-0.0128462032482317,-0.0468723816927849,-0.155415651628094,403,367,403,170,-0.128706426120163,0.142825107807524,-0.0107091583026895
287,0.223943356856868,-0.0122687506082898,0.0428469577631752,-0.171149595667692,784,734,784,594,-0.144440370159761,0.266528766877547,-0.0136674190802929
298,0.0060260980478785,0.0007408421135814,-0.0011581650495311,,1,1,1,,,,
304,0.311952345041125,0.0362856798436282,0.111173464978151,-0.105466678879806,428,410,428,377,-0.0787574533718745,0.335165805836699,0.0290591650638906
312,0.0056736772641852,0.0009903667860878,-0.0076855116946111,,1,1,1,,,,
320,0.272518737015141,-0.0165247254834636,0.0652193580214978,-0.223585365782712,155,145,155,98,-0.19687614027478,0.330569097831591,-0.0174527335905237
324,-0.0059082128528737,-0.0088766483524968,-0.0363239515192568,,3,3,3,,,,
329,0.259953957340155,0.0063237960656522,0.124383461051427,-0.0860269786311413,103,97,103,89,-0.0593177531232098,0.277434041717862,0.000118901646405426
335,0.115987779361436,-0.0328904612509145,-0.0477293289526607,-0.0614475760931586,97,94,97,66,-0.0347383505852271,0.12621862815043,-0.0350510558747027
336,0.231106766015134,-0.0460430589448555,0.0378677041676197,-0.0677280133997647,405,372,405,329,-0.0410187878918332,0.243189912457229,-0.0519936016373728
337,0.422684275379878,0.0616537899247902,0.183177735967055,0.0223260326540557,247,241,247,228,0.0490352581619872,0.408207663318805,0.0452175652136739
341,0.234613984608417,0.0528208052358472,0.0910998290604345,-0.0795246838161214,267,251,267,237,-0.0528154583081899,0.250176338605635,0.0472372939881563
342,0.321621244621236,0.0216511815505992,0.108365936938619,0.149427427173242,452,435,452,426,0.176136652681174,0.269658450741883,0.00348709484717166
344,0.289091955713775,-0.0299888148052588,0.0667793225163096,-0.037683933154178,266,257,266,246,-0.0109747076462465,0.292314161967844,-0.0392289619855124
