cohort_gr8,income_measure_key,income_measure_label,income_measure_order,outcome,outcome_key,outcome_label,plot_order,rho,n_students,mean_log_income_4to,mean_attended_va_eb,sd_log_income_4to,sd_attended_va_eb,n_students_with_income_and_rbd,va_match_rate_among_income_rbd
2018,school_median_for_everyone,School median for everyone,2,log_program_income_clp_m1,program_income,Program income,6,0.330023257974778,199338,12.8877015370357,-0.00334438694752484,0.689570505248502,0.0576690507014185,199665,0.998362256780107
2019,school_median_for_everyone,School median for everyone,2,log_program_income_clp_m1,program_income,Program income,6,0.331143419666784,200817,12.8885183453807,-0.00308423437334173,0.687079371516774,0.0577707962530402,201100,0.998592739930383
2020,school_median_for_everyone,School median for everyone,2,log_program_income_clp_m1,program_income,Program income,6,0.328998797731029,204562,12.8930435561618,-0.00338393452294788,0.684727788775746,0.057518812635512,204934,0.99818478144183
2017,direct_or_school_median,Direct income + school median fallback,1,program_certified_years_m1,program_certified_years,Program-certified years,7,0.117593589750119,187342,12.7752301078596,-0.00648980115243699,0.927286928567674,0.105431869128745,187754,0.99780563929397
2018,direct_or_school_median,Direct income + school median fallback,1,program_certified_years_m1,program_certified_years,Program-certified years,7,0.116388767356036,201707,12.8185841496861,-0.00634449324544506,0.8941673780081,0.105351877666265,202043,0.998336987670941
2019,direct_or_school_median,Direct income + school median fallback,1,program_certified_years_m1,program_certified_years,Program-certified years,7,0.115450425645288,202891,12.8875733961991,-0.00568024336762516,0.878509488666935,0.105084432424499,203184,0.998557957319474
2020,direct_or_school_median,Direct income + school median fallback,1,program_certified_years_m1,program_certified_years,Program-certified years,7,0.114728341008093,206725,12.943214914017,-0.00405845399420759,0.856532675592598,0.103996795704049,207113,0.998126626527548
2013,school_median_for_everyone,School median for everyone,2,program_certified_years_m1,program_certified_years,Program-certified years,7,0.150057100888283,193936,12.8465220028957,-0.00968776061216026,0.685158738795693,0.104731040803717,197202,0.98343830184278
2014,school_median_for_everyone,School median for everyone,2,program_certified_years_m1,program_certified_years,Program-certified years,7,0.142656411417449,201271,12.8500162688025,-0.00885937574865441,0.685490458426795,0.104974271157894,204007,0.986588695485939
2015,school_median_for_everyone,School median for everyone,2,program_certified_years_m1,program_certified_years,Program-certified years,7,0.144626032183,197538,12.8645100377985,-0.00805290904131961,0.692048686287422,0.105138422200958,199483,0.990249795721941
2016,school_median_for_everyone,School median for everyone,2,program_certified_years_m1,program_certified_years,Program-certified years,7,0.142554206160995,198203,12.8689236451443,-0.00723769674385528,0.69515944578238,0.10513541873156,199123,0.995379740160604
2017,school_median_for_everyone,School median for everyone,2,program_certified_years_m1,program_certified_years,Program-certified years,7,0.145596505505843,184862,12.8931620455159,-0.00665051099803741,0.701372887300865,0.105541732498063,185256,0.997873213283241
2018,school_median_for_everyone,School median for everyone,2,program_certified_years_m1,program_certified_years,Program-certified years,7,0.142082640226481,199338,12.8877015370357,-0.00649848312383628,0.689570505248502,0.105505787321384,199665,0.998362256780107
2019,school_median_for_everyone,School median for everyone,2,program_certified_years_m1,program_certified_years,Program-certified years,7,0.140771823754669,200817,12.8885183453807,-0.00577631554824381,0.687079371516774,0.105190221422112,201100,0.998592739930383
2020,school_median_for_everyone,School median for everyone,2,program_certified_years_m1,program_certified_years,Program-certified years,7,0.135071070812248,204562,12.8930435561618,-0.00411821098579423,0.684727788775746,0.104073703419923,204934,0.99818478144183
2017,direct_or_school_median,Direct income + school median fallback,1,inst_certified_years_m1,institutional_quality,Institutional quality,8,0.0601964055257208,187342,12.7752301078596,7.1209199205129e-05,0.927286928567674,0.209997527544298,187754,0.99780563929397
2018,direct_or_school_median,Direct income + school median fallback,1,inst_certified_years_m1,institutional_quality,Institutional quality,8,0.0550750961313189,201707,12.8185841496861,0.000930564938536489,0.8941673780081,0.210648136640189,202043,0.998336987670941
2019,direct_or_school_median,Direct income + school median fallback,1,inst_certified_years_m1,institutional_quality,Institutional quality,8,0.0516313840415754,202891,12.8875733961991,0.00145124155456585,0.878509488666935,0.211098460899916,203184,0.998557957319474
2020,direct_or_school_median,Direct income + school median fallback,1,inst_certified_years_m1,institutional_quality,Institutional quality,8,0.0493090165866811,206725,12.943214914017,0.00014664879469334,0.856532675592598,0.20973733440565,207113,0.998126626527548
2013,school_median_for_everyone,School median for everyone,2,inst_certified_years_m1,institutional_quality,Institutional quality,8,0.0798596116758082,193936,12.8465220028957,0.00206131034831301,0.685158738795693,0.211305616393597,197202,0.98343830184278
2014,school_median_for_everyone,School median for everyone,2,inst_certified_years_m1,institutional_quality,Institutional quality,8,0.0811216558715137,201271,12.8500162688025,0.000793690663954168,0.685490458426795,0.211179225132739,204007,0.986588695485939
2015,school_median_for_everyone,School median for everyone,2,inst_certified_years_m1,institutional_quality,Institutional quality,8,0.0817106562394715,197538,12.8645100377985,0.00147758194131359,0.692048686287422,0.211365734241926,199483,0.990249795721941
2016,school_median_for_everyone,School median for everyone,2,inst_certified_years_m1,institutional_quality,Institutional quality,8,0.0795435812634469,198203,12.8689236451443,0.000670159809790782,0.69515944578238,0.210322930944655,199123,0.995379740160604
2017,school_median_for_everyone,School median for everyone,2,inst_certified_years_m1,institutional_quality,Institutional quality,8,0.0832460328556001,184862,12.8931620455159,0.000373562734957845,0.701372887300865,0.209847498955946,185256,0.997873213283241
2018,school_median_for_everyone,School median for everyone,2,inst_certified_years_m1,institutional_quality,Institutional quality,8,0.0753824550652998,199338,12.8877015370357,0.00129400181925225,0.689570505248502,0.210549853331219,199665,0.998362256780107
2019,school_median_for_everyone,School median for everyone,2,inst_certified_years_m1,institutional_quality,Institutional quality,8,0.0751433681062527,200817,12.8885183453807,0.00169236309732784,0.687079371516774,0.211056432570605,201100,0.998592739930383
2020,school_median_for_everyone,School median for everyone,2,inst_certified_years_m1,institutional_quality,Institutional quality,8,0.0701160620876317,204562,12.8930435561618,0.000384670785987504,0.684727788775746,0.209662881803954,204934,0.99818478144183
