outcome,feature,label,block,estimate,se,p,stars,schools,student_share,sample_schools
admission_exam_taker,size_250_499,250--499 students,size,0.23104480572780964,0.03298254051268016,2.4687303542385356e-12,***,977,0.36668100615718363,3498
admission_exam_taker,size_500_plus,500+ students,size,0.23486337073603353,0.04402442814876141,9.562775965361971e-08,***,466,0.3868878115210328,3498
any_postulacion,intercept,"Intercept (omitted: Municipal, no tracks, 100--249 students)",base,0.23987998364712965,0.04672394215261792,2.8367182822823833e-07,***,84,0.012466119654690995,3498
any_postulacion,admin_1,Corporaci\'on Municipal,admin,-0.23871137955809485,0.06513521472610886,0.00024747486000603093,***,242,0.08847025787330397,3498
any_postulacion,admin_3,Private subsidized,admin,0.09480263136111214,0.0416579644418352,0.02286166867959996,**,1936,0.5286481907169833,3498
any_postulacion,admin_4,Fully private,admin,-1.1467589177653505,0.06838820756305355,4.157428286479191e-63,***,480,0.10148136613997626,3498
any_postulacion,admin_5,Delegated administration,admin,-0.2610567986576396,0.07080788416554781,0.0002270628290561399,***,70,0.0443340978129198,3498
any_postulacion,admin_6,SLEP,admin,-0.10758490609796117,0.06905898266780555,0.11926410663636036,,196,0.053423399409353735,3498
any_postulacion,tp,Technical-professional,track,-0.12614401928187507,0.03520824073580373,0.0003399332978896789,***,932,0.40699168925356355,3498
any_postulacion,artistic,Artistic,track,0.36282231777167046,0.0578032888007049,3.4551092799365986e-10,***,2,0.00045657641584874426,3498
any_postulacion,size_under100,Fewer than 100 students,size,-0.5562291826564908,0.045004796159516136,4.3375022284929014e-35,***,850,0.03906631442543948,3498
any_postulacion,size_250_499,250--499 students,size,0.13690441963220393,0.03466013625383983,7.818057664020304e-05,***,977,0.36668100615718363,3498
any_postulacion,size_500_plus,500+ students,size,0.17342219609744164,0.04290958015737605,5.3093870960856626e-05,***,466,0.3868878115210328,3498
