outcome,psu_score_bin,students,benefit_assignments,share,sample,se,lower,upper
Beca Nuevo Milenio,815,2289,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,820,2620,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,825,2476,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,830,2943,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,835,1974,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,840,2845,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,845,1904,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,850,2668,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,855,1412,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,860,2671,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,865,1651,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,870,2088,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,875,1566,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,880,2448,0,0,Whole grade-8 universe,0,0,0
